character,term,freq,adjLL,rank,negrank,revrank
ARCHER,lana,533,412.2420001,1,-1,20
ARCHER,mother,288,262.502999,2,-2,19
ARCHER,woodhouse,94,81.61609724,3,-3,18
ARCHER,yeah,571,70.76699442,4,-4,17
ARCHER,cyril,262,61.97008995,5,-5,16
ARCHER,lana lana,24,59.56326342,6,-6,15
ARCHER,mawp,20,47.26279137,7,-7,14
ARCHER,yeah lana,13,46.95637615,8,-8,13
ARCHER,holy shit,41,42.91454571,9,-9,12
ARCHER,katya,42,40.85874083,10,-10,11
ARCHER,phrasing,31,37.20316977,11,-11,10
ARCHER,wait,320,32.93689913,14,-14,7
ARCHER,hang,94,31.73581079,15,-15,6
ARCHER,danger zone,11,26.10579356,19,-19,2
ARCHER,kenny loggins,11,26.10579356,20,-20,1
