character,term,freq,adjLL,rank,negrank,revrank
CHERYL,outlaw country,12,124.5390023,1,-1,20
CHERYL,stupid,47,103.1492649,2,-2,19
CHERYL,country,25,75.61658977,3,-3,18
CHERYL,outlaw,14,74.26771623,4,-4,17
CHERYL,eee eee,6,73.55746215,5,-5,16
CHERYL,gross,17,55.43314923,6,-6,15
CHERYL,ugh,40,51.80056457,7,-7,14
CHERYL,duh,27,47.78460353,10,-10,11
CHERYL,jesus,35,39.77262516,11,-11,10
CHERYL,earballs,5,30.7605786,13,-13,8
CHERYL,totally,25,28.12447473,14,-14,7
CHERYL,supervisor,6,28.10676472,16,-16,5
CHERYL,woooooo,8,23.43350426,17,-17,4
CHERYL,burn,11,20.83631076,18,-18,3
CHERYL,boring,6,19.63174069,20,-20,1
