character,term,freq,adjLL,rank,negrank,revrank
CYRIL,jeezy petes,18,202.8437512,1,-1,20
CYRIL,cyril figgis,15,130.9126339,2,-2,19
CYRIL,jeezy,21,117.2824164,3,-3,18
CYRIL,petes,20,103.7852646,4,-4,17
CYRIL,figgis,27,101.9921771,5,-5,16
CYRIL,ms archer,16,67.38394344,6,-6,15
CYRIL,suppressing,8,38.52719077,9,-9,12
CYRIL,ha ha,16,37.275033,10,-10,11
CYRIL,hey,71,36.13774902,11,-11,10
CYRIL,figgis agency,5,35.91633337,12,-12,9
CYRIL,gonna die,9,35.77859846,13,-13,8
CYRIL,heck,8,27.98897988,15,-15,6
CYRIL,wuh,6,27.89460414,16,-16,5
CYRIL,darn,7,25.18016542,17,-17,4
CYRIL,geez,7,25.18016542,18,-18,3
