character,term,freq,adjLL,rank,negrank,revrank
KRIEGER,yep yep,24,265.8329252,1,-1,20
KRIEGER,bup bup,16,212.2744187,2,-2,19
KRIEGER,shoo shoo,14,171.1955891,3,-3,18
KRIEGER,shh shh,12,114.266923,7,-7,14
KRIEGER,ow ow,15,57.01883452,8,-8,13
KRIEGER,film film,4,53.06557539,9,-9,12
KRIEGER,sha,6,41.7072598,11,-11,10
KRIEGER,nerve gas,7,37.43519755,12,-12,9
KRIEGER,ow,30,30.76500099,13,-13,8
KRIEGER,danny,6,30.44074218,14,-14,7
KRIEGER,cpu,5,26.50776425,15,-15,6
KRIEGER,bathroom,10,26.41466087,16,-16,5
KRIEGER,clone,6,24.2046745,17,-17,4
KRIEGER,van,8,23.36669203,18,-18,3
KRIEGER,clones,5,22.64402295,20,-20,1
