character,term,freq,adjLL,rank,negrank,revrank
RAY,dukes,17,116.3588565,1,-1,20
RAY,y'all,21,115.534294,2,-2,19
RAY,goddamn,29,44.51886518,4,-4,17
RAY,makeup,6,41.0664857,5,-5,16
RAY,randy,14,39.51914911,6,-6,15
RAY,blue,9,27.69921084,7,-7,14
RAY,herd,5,25.98079631,8,-8,13
RAY,ol,6,21.47565097,9,-9,12
RAY,hair,6,17.56324697,11,-11,10
RAY,sploosh,5,14.42321093,12,-12,9
RAY,morning,7,14.37052542,13,-13,8
RAY,asshole,9,11.93832256,14,-14,7
RAY,double,7,10.03857952,16,-16,5
RAY,damn,22,9.441472183,17,-17,4
RAY,legs,5,9.154451935,18,-18,3
